,TIME,,,TAC,,,CELLID,,,PCI,,,ARFCN,,,RSRP,,,RSRQ,,,Latitude,,,Longitude,
,11/01/2020 19:23:48,,,-1,,,Error,,,Error,,,Error,,,Error,,,Error,,,Error,,,Error,
,11/01/2020 19:23:52,,,-1,,,Error,,,Error,,,Error,,,Error,,,Error,,,7.023839,,,79.902926,
,11/01/2020 19:23:58,,,-1,,,Error,,,Error,,,Error,,,Error,,,Error,,,Error,,,Error,
,11/01/2020 19:23:59,,,63530,,,29702,,,4 EGSM 900,,,0,,,Error,,,Error,,,7.023776,,,79.902774,
,11/01/2020 19:24:47,,,63530,,,29702,,,4 EGSM 900,,,0,,,Error,,,Error,,,7.023775,,,79.902773,
,11/01/2020 19:25:17,,,63530,,,29702,,,4 EGSM 900,,,0,,,Error,,,Error,,,7.023791,,,79.902775,
,11/01/2020 19:25:47,,,63530,,,29702,,,4 EGSM 900,,,0,,,Error,,,Error,,,7.023791,,,79.902774,
,11/01/2020 19:26:17,,,63530,,,16727,,,783 DCS 1800,,,0,,,Error,,,Error,,,7.023793,,,79.902775,
,11/01/2020 19:26:47,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023792,,,79.902787,
,11/01/2020 19:27:17,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023941,,,79.901491,
,11/01/2020 19:27:47,,,63530,,,29701,,,1 EGSM 900,,,0,,,Error,,,Error,,,7.023809,,,79.900897,
,11/01/2020 19:28:17,,,63530,,,29706,,,781 DCS 1800,,,0,,,Error,,,Error,,,7.023736,,,79.899928,
,11/01/2020 19:28:47,,,63530,,,29706,,,781 DCS 1800,,,0,,,Error,,,Error,,,7.022555,,,79.899735,
,11/01/2020 19:29:17,,,63530,,,29706,,,781 DCS 1800,,,0,,,Error,,,Error,,,7.021070,,,79.899586,
,11/01/2020 19:29:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.018572,,,79.899557,
,11/01/2020 19:30:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.016426,,,79.898788,
,11/01/2020 19:30:47,,,63530,,,29786,,,775 DCS 1800,,,0,,,Error,,,Error,,,7.014313,,,79.898122,
,11/01/2020 19:31:17,,,63530,,,29786,,,775 DCS 1800,,,0,,,Error,,,Error,,,7.014175,,,79.898121,
,11/01/2020 19:31:47,,,63530,,,29786,,,775 DCS 1800,,,0,,,Error,,,Error,,,7.012768,,,79.897664,
,11/01/2020 19:32:17,,,63530,,,29782,,,9 EGSM 900,,,0,,,Error,,,Error,,,7.011003,,,79.897073,
,11/01/2020 19:32:47,,,63530,,,29783,,,2 EGSM 900,,,0,,,Error,,,Error,,,7.008640,,,79.896775,
,11/01/2020 19:33:17,,,63560,,,29682,,,778 DCS 1800,,,0,,,Error,,,Error,,,7.005731,,,79.897092,
,11/01/2020 19:33:47,,,63560,,,29682,,,778 DCS 1800,,,0,,,Error,,,Error,,,7.002877,,,79.897757,
,11/01/2020 19:34:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.002249,,,79.897954,
,11/01/2020 19:34:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.003075,,,79.897522,
,11/01/2020 19:35:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004631,,,79.896914,
,11/01/2020 19:35:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004609,,,79.896912,
,11/01/2020 19:36:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004609,,,79.896908,
,11/01/2020 19:36:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004609,,,79.896908,
,11/01/2020 19:37:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004610,,,79.896907,
,11/01/2020 19:37:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004610,,,79.896909,
,11/01/2020 19:38:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004611,,,79.896908,
,11/01/2020 19:38:47,,,63560,,,29682,,,778 DCS 1800,,,0,,,Error,,,Error,,,7.004611,,,79.896909,
,11/01/2020 19:39:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004611,,,79.896909,
,11/01/2020 19:39:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004611,,,79.896908,
,11/01/2020 19:40:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004611,,,79.896908,
,11/01/2020 19:40:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004610,,,79.896908,
,11/01/2020 19:41:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004610,,,79.896910,
,11/01/2020 19:41:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004610,,,79.896912,
,11/01/2020 19:42:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004611,,,79.896911,
,11/01/2020 19:42:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004612,,,79.896910,
,11/01/2020 19:43:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004603,,,79.896897,
,11/01/2020 19:43:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004603,,,79.896896,
,11/01/2020 19:44:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004604,,,79.896896,
,11/01/2020 19:44:47,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004604,,,79.896896,
,11/01/2020 19:45:17,,,63560,,,29683,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.004604,,,79.896899,
,11/01/2020 19:45:47,,,63560,,,29682,,,778 DCS 1800,,,0,,,Error,,,Error,,,7.004604,,,79.896900,
,11/01/2020 19:46:17,,,63560,,,29682,,,778 DCS 1800,,,0,,,Error,,,Error,,,7.005072,,,79.896933,
,11/01/2020 19:46:47,,,63560,,,29682,,,778 DCS 1800,,,0,,,Error,,,Error,,,7.007175,,,79.896904,
,11/01/2020 19:47:17,,,63560,,,29682,,,778 DCS 1800,,,0,,,Error,,,Error,,,7.009671,,,79.896634,
,11/01/2020 19:47:47,,,63530,,,29783,,,2 EGSM 900,,,0,,,Error,,,Error,,,7.012362,,,79.897408,
,11/01/2020 19:48:17,,,63530,,,29788,,,787 DCS 1800,,,0,,,Error,,,Error,,,7.013860,,,79.897831,
,11/01/2020 19:48:47,,,63530,,,29786,,,775 DCS 1800,,,0,,,Error,,,Error,,,7.016286,,,79.898643,
,11/01/2020 19:49:17,,,63530,,,29781,,,7 EGSM 900,,,0,,,Error,,,Error,,,7.017426,,,79.899069,
,11/01/2020 19:49:47,,,63530,,,29781,,,7 EGSM 900,,,0,,,Error,,,Error,,,7.018646,,,79.899435,
,11/01/2020 19:50:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020486,,,79.899384,
,11/01/2020 19:50:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020538,,,79.899362,
,11/01/2020 19:51:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020508,,,79.899371,
,11/01/2020 19:51:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020567,,,79.899339,
,11/01/2020 19:52:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020568,,,79.899352,
,11/01/2020 19:52:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020569,,,79.899353,
,11/01/2020 19:53:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020569,,,79.899353,
,11/01/2020 19:53:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020569,,,79.899353,
,11/01/2020 19:54:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020567,,,79.899354,
,11/01/2020 19:54:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020566,,,79.899353,
,11/01/2020 19:55:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020565,,,79.899354,
,11/01/2020 19:55:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020564,,,79.899355,
,11/01/2020 19:56:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020563,,,79.899355,
,11/01/2020 19:56:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020561,,,79.899356,
,11/01/2020 19:57:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020599,,,79.899349,
,11/01/2020 19:57:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.021304,,,79.899430,
,11/01/2020 19:58:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.023300,,,79.899666,
,11/01/2020 19:58:47,,,63530,,,29706,,,781 DCS 1800,,,0,,,Error,,,Error,,,7.024432,,,79.899846,
,11/01/2020 19:59:17,,,63530,,,29706,,,781 DCS 1800,,,0,,,Error,,,Error,,,7.023723,,,79.900411,
,11/01/2020 19:59:47,,,63530,,,29706,,,781 DCS 1800,,,0,,,Error,,,Error,,,7.024058,,,79.900890,
,11/01/2020 20:00:17,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023924,,,79.902203,
